00:02:54 019	 1:start getImage
00:02:54 020	 2 getImage times:0
00:02:54 021	3  GrabFrame times:0,result=
00:02:54 026	 5 ImageProcess result=
00:02:54 029	7 finish getImage
00:02:54 031	 1:start getImage
00:02:54 031	 2 getImage times:0
00:02:54 032	3  GrabFrame times:0,result=
00:02:54 037	 5 ImageProcess result=
00:02:54 040	7 finish getImage
00:02:54 420	 1:start getImage
00:02:54 421	 2 getImage times:0
00:02:54 422	3  GrabFrame times:0,result=
00:02:54 427	 5 ImageProcess result=
00:02:54 430	7 finish getImage
00:02:54 431	 1:start getImage
00:02:54 432	 2 getImage times:0
00:02:54 433	3  GrabFrame times:0,result=
