00:01:04 930	 2 getImage times:0
00:01:04 934	3  GrabFrame times:0,result=
00:01:04 942	 5 ImageProcess result=
00:01:04 950	7 finish getImage
00:01:04 956	 1:start getImage
00:01:04 960	 2 getImage times:0
00:01:04 964	3  GrabFrame times:0,result=
00:01:04 972	 5 ImageProcess result=
00:01:04 982	7 finish getImage
00:01:05 156	 1:start getImage
00:01:05 160	 2 getImage times:0
00:01:05 164	3  GrabFrame times:0,result=
00:01:05 172	 5 ImageProcess result=
00:01:05 184	7 finish getImage
00:01:05 190	 1:start getImage
00:01:05 194	 2 getImage times:0
00:01:05 198	3  GrabFrame times:0,result=
00:01:05 206	 5 ImageProcess result=
00:01:05 214	7 finish getImage
00:01:05 387	 1:start getImage
00:01:05 393	 2 getImage times:0
00:01:05 397	3  GrabFrame times:0,result=
00:01:05 405	 5 ImageProcess result=
00:01:05 413	7 finish getImage
00:01:05 417	 1:start getImage
00:01:05 421	 2 getImage times:0
00:01:05 427	3  GrabFrame times:0,result=
00:01:05 435	 5 ImageProcess result=
00:01:05 441	7 finish getImage
00:01:05 617	 1:start getImage
00:01:05 621	 2 getImage times:0
00:01:05 625	3  GrabFrame times:0,result=
00:01:05 633	 5 ImageProcess result=
00:01:05 639	7 finish getImage
00:01:05 645	 1:start getImage
00:01:05 651	 2 getImage times:0
00:01:05 655	3  GrabFrame times:0,result=
00:01:05 665	 5 ImageProcess result=
00:01:05 673	7 finish getImage
00:01:05 845	 1:start getImage
00:01:05 849	 2 getImage times:0
00:01:05 853	3  GrabFrame times:0,result=
00:01:05 861	 5 ImageProcess result=
00:01:05 869	7 finish getImage
00:01:05 877	 1:start getImage
00:01:05 883	 2 getImage times:0
00:01:05 887	3  GrabFrame times:0,result=
00:01:05 895	 5 ImageProcess result=
00:01:05 903	7 finish getImage
00:01:06 075	 1:start getImage
00:01:06 081	 2 getImage times:0
00:01:06 085	3  GrabFrame times:0,result=
00:01:06 095	 5 ImageProcess result=
00:01:06 103	7 finish getImage
00:01:06 113	 1:start getImage
00:01:06 119	 2 getImage times:0
00:01:06 123	3  GrabFrame times:0,result=
00:01:06 133	 5 ImageProcess result=
00:01:06 141	7 finish getImage
00:01:06 511	 1:start getImage
00:01:06 515	 2 getImage times:0
00:01:06 519	3  GrabFrame times:0,result=
00:01:06 527	 5 ImageProcess result=
00:01:06 535	7 finish getImage
00:01:06 541	 1:start getImage
00:01:06 543	 2 getImage times:0
00:01:06 551	3  GrabFrame times:0,result=
00:01:06 563	 5 ImageProcess result=
00:01:06 569	7 finish getImage
00:01:07 084	 1:start getImage
00:01:07 088	 2 getImage times:0
00:01:07 092	3  GrabFrame times:0,result=
00:01:07 102	 5 ImageProcess result=
00:01:07 110	7 finish getImage
00:01:07 116	 1:start getImage
00:01:07 120	 2 getImage times:0
00:01:07 124	3  GrabFrame times:0,result=
00:01:07 132	 5 ImageProcess result=
00:01:07 140	7 finish getImage
00:01:07 360	 1:start getImage
00:01:07 366	 2 getImage times:0
00:01:07 374	3  GrabFrame times:0,result=
00:01:07 384	 5 ImageProcess result=
00:01:07 390	7 finish getImage
00:01:07 398	 1:start getImage
00:01:07 402	 2 getImage times:0
00:01:07 408	3  GrabFrame times:0,result=
00:01:07 418	 5 ImageProcess result=
