00:03:01 251	3  GrabFrame times:0,result=
00:03:01 256	 5 ImageProcess result=
00:03:01 260	7 finish getImage
00:03:01 743	 1:start getImage
00:03:01 743	 2 getImage times:0
00:03:01 744	3  GrabFrame times:0,result=
00:03:01 749	 5 ImageProcess result=
00:03:01 753	7 finish getImage
00:03:01 754	 1:start getImage
00:03:01 754	 2 getImage times:0
00:03:01 771	3  GrabFrame times:0,result=
00:03:01 777	 5 ImageProcess result=
00:03:01 780	7 finish getImage
00:03:02 258	 1:start getImage
00:03:02 258	 2 getImage times:0
00:03:02 259	3  GrabFrame times:0,result=
00:03:02 264	 5 ImageProcess result=
00:03:02 268	7 finish getImage
00:03:02 269	 1:start getImage
00:03:02 269	 2 getImage times:0
00:03:02 290	3  GrabFrame times:0,result=
00:03:02 296	 5 ImageProcess result=
00:03:02 299	7 finish getImage
00:03:02 786	 1:start getImage
00:03:02 786	 2 getImage times:0
00:03:02 787	3  GrabFrame times:0,result=
00:03:02 792	 5 ImageProcess result=
00:03:02 796	7 finish getImage
00:03:02 797	 1:start getImage
00:03:02 797	 2 getImage times:0
00:03:02 811	3  GrabFrame times:0,result=
00:03:02 816	 5 ImageProcess result=
00:03:02 819	7 finish getImage
00:03:04 761	 1:start getImage
00:03:04 762	 2 getImage times:0
00:03:04 762	3  GrabFrame times:0,result=
00:03:04 767	 5 ImageProcess result=
00:03:04 771	7 finish getImage
00:03:04 772	 1:start getImage
00:03:04 773	 2 getImage times:0
00:03:04 773	3  GrabFrame times:0,result=
00:03:04 778	 5 ImageProcess result=
00:03:04 782	7 finish getImage
00:03:05 219	 1:start getImage
00:03:05 219	 2 getImage times:0
00:03:05 220	3  GrabFrame times:0,result=
00:03:05 225	 5 ImageProcess result=
00:03:05 229	7 finish getImage
00:03:05 230	 1:start getImage
00:03:05 230	 2 getImage times:0
00:03:05 250	3  GrabFrame times:0,result=
00:03:05 255	 5 ImageProcess result=
00:03:05 258	7 finish getImage
00:03:05 714	 1:start getImage
00:03:05 715	 2 getImage times:0
00:03:05 715	3  GrabFrame times:0,result=
00:03:05 720	 5 ImageProcess result=
00:03:05 723	7 finish getImage
00:03:05 724	 1:start getImage
00:03:05 725	 2 getImage times:0
00:03:05 729	3  GrabFrame times:0,result=
00:03:05 734	 5 ImageProcess result=
00:03:05 737	7 finish getImage
00:03:27 472	start cam_stop 
00:03:27 597	finish cam_stop 
00:04:26 289	 start loadPinDef
